=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
METAL   Knuckles vs Sword (leather)                      29.4   29.9  20.1  40.0     33     54       0     100      71      84    100  46.9       0     0  Torso was destroyed (Heart failed) (13)
METAL   Axe vs Sword (leather)                           27.3   28.6  16.4  40.3     25     54       0     100      46      90    100  55.4       0     0  Head was destroyed (Brain failed) (10)
METAL   Hammer vs Sword (leather)                        28.5   28.7  17.4  39.0     29     29       0     100      42      76    109  30.1       0     0  Torso was destroyed (Heart failed) (13)
METAL   Mace vs Sword (leather)                          27.8   28.9  13.5  50.6     25     63       0     100      67      95    100  54.3       0     0  Torso was destroyed (Heart failed) (11)
METAL   Claws vs Sword (leather)                         25.6   24.1  12.6  33.0     21     50       0     100      42      92    100  54.2       0     0  Torso was destroyed (Heart failed) (14)
METAL   Sword vs Sword (leather)                         25.0   25.2  14.1  35.0     33     67       0     100      50      95    100  60.8       0     0  Torso was destroyed (Heart failed) (15)
METAL   Axe vs Axe (leather)                             27.7   25.4  11.2  36.1     33     63       0     100      50      98    100  59.6       0     0  Torso was destroyed (Heart failed) (14)
METAL   Mace vs Mace (leather)                           27.2   26.2  14.5  35.1     25     54       0     100      46      98    100  56.4       0     0  Torso was destroyed (Heart failed) (17)
METAL   Claws vs Claws (leather)                         28.8   29.6  13.1  41.5     13     63       0     100      54      89    100  55.2       0     0  Torso was destroyed (Heart failed) (12)

MAGIC   EmberWand vs Sword (leather)                     26.6   28.9  13.7  36.2     17      8       4      96      42      92    110  27.5       4     0  Torso was destroyed (Heart failed) (14)
MAGIC   HexWand vs Sword (leather)                       22.7   22.2  12.6  30.0     46     17       0      96      17     100    109  28.9       0     0  Torso was destroyed (Heart failed) (14)
MAGIC   FireStaff vs Sword (leather)                     24.7   28.3  14.0  38.9     42     29       4      96      38      95    104  34.7       4     0  Torso was destroyed (Heart failed) (13)
MAGIC   StormStaff vs Sword (leather)                    25.6   28.9  20.2  44.9     33     46       0      96      46      90    100  31.9       0     0  Torso was destroyed (Heart failed) (12)
MAGIC   Dual-wand vs Sword (leather)                     24.5   27.4  19.2  36.3     54     25       0      88      50      98    100  34.3       0     0  Torso was destroyed (Heart failed) (11)
MAGIC   Ember+Dagger vs Sword (leather)                  32.4   31.3  17.1  49.9     21     33       0     100      54      83    106  37.5       0     0  Torso was destroyed (Heart failed) (13)
MAGIC   FireStaff vs FireStaff (leather)                 28.9   28.6  17.8  43.7     25     50       0     100      54      81    100  42.5       0     0  Torso was destroyed (Heart failed) (17)
MAGIC   StormStaff vs StormStaff (leather)               30.7   30.4  17.8  40.5     29     63       0      92      50      89    100  49.0       0     0  Torso was destroyed (Heart failed) (15)
MAGIC   HexWand vs EmberWand (leather)                   32.6   31.5  18.7  42.7     21     63       0      79      54      85    100  35.2       0     0  Torso was destroyed (Heart failed) (10)

STEEL   Greatsword vs Sword (leather)                    25.6   24.5  13.2  33.4     33     54       0     100      42      94    100  68.5       0     0  Torso was destroyed (Heart failed) (16)
STEEL   Maul vs Sword (leather)                          21.4   21.7   9.1  36.1     38     63       0     100      42      99    100  80.2       0     0  Head was destroyed (Brain failed) (9)
STEEL   Poleaxe vs Sword (leather)                       22.5   22.7  13.1  33.6     46     75       0     100      29      99    100  80.6       0     0  Torso was destroyed (Heart failed) (12)
STEEL   SteelSword vs Sword (leather)                    23.4   23.7  13.5  36.5     38     67       0     100      50      95    100  73.0       0     0  Torso was destroyed (Heart failed) (13)
STEEL   SteelAxe vs Sword (leather)                      22.6   22.3  13.6  31.0     50     67       0     100      38      94    100  84.7       0     0  Torso was destroyed (Heart failed) (17)
STEEL   Greatsword vs Maul (leather)                     24.5   23.2   8.0  34.4     50     50       0     100      38     100    100  73.0       0     0  Torso was destroyed (Heart failed) (15)
STEEL   Greatsword vs Poleaxe (leather)                  20.2   20.1  10.5  30.9     67     42       0     100      50     100    111  68.2       0     0  Torso was destroyed (Heart failed) (12)
STEEL   Maul vs Poleaxe (leather)                        20.6   23.4  15.0  34.9     58     38       4      96      67     100    112  39.2       0     0  Torso was destroyed (Heart failed) (9)
STEEL   SteelSword vs SteelAxe (leather)                 21.8   23.8  15.0  36.9     58     50       0     100      67      96    100  54.2       0     0  Torso was destroyed (Heart failed) (13)
STEEL   SteelSword+Dagger vs Greatsword (leather)        23.6   25.0  13.2  35.7     33     75       0     100      46      89    100  69.0       0     0  Torso was destroyed (Heart failed) (14)
STEEL   Dual-IronSword vs Greatsword (leather)           21.8   23.3  14.4  29.8     50     50       0     100      38      99    100  58.2       0     0  Torso was destroyed (Heart failed) (15)
STEEL   Greatsword vs Sword (chain)                      22.9   23.8  13.0  38.3     46     58       0     100      54     100    100  57.9       0     0  Torso was destroyed (Heart failed) (14)
STEEL   SteelSword vs Sword (chain)                      25.2   24.2   9.8  38.3     33     71       0     100      42     100    100  66.2       0     0  Torso was destroyed (Heart failed) (15)

R7-9    Sword+chain vs Sword+chain                       14.8   16.0  10.3  21.1     42     63       0     100      42     100    100  94.4       0     0  Torso was destroyed (Heart failed) (16)
R7-9    Chain+Burn vs Chain (plain)                      13.2   14.0   9.0  20.2     25     46       0     100      21     100    100  91.4       0     0  Torso was destroyed (Heart failed) (18)
R7-9    Chain+Burn vs Chain+BoneEater                    14.8   16.2  10.7  21.7     42     42       0     100      33     100    101  72.9       0     0  Torso was destroyed (Heart failed) (17)
R7-9    Chain+Burn vs Chain+SpidersBite                  15.1   15.8  10.3  28.3     38     42       0     100      33     100    106  81.4       0     0  Torso was destroyed (Heart failed) (14)
R7-9    Dual-iron+chain vs Sword+chain                   12.8   13.0   5.3  19.1     33     58       0      96      38     100    100 102.7       0     0  Torso was destroyed (Heart failed) (12)
R7-9    Chain+Rhino-light vs Chain+Burn                  16.8   17.0  11.1  23.1     58     71       0     100      50     100    100  93.8       0     0  Torso was destroyed (Heart failed) (15)
R7-9    Dual-DoT+leather vs same                         11.4   13.7   6.5  23.5     21     58       0     100      38     100    100 110.1       0     0  Torso was destroyed (Heart failed) (12)
R7-9    WD+BoneEater vs Sword+chain                      16.6   15.8  10.4  22.2     58     67       0     100      46     100    100  88.0       0     0  Torso was destroyed (Heart failed) (12)
R7-9    WD+Burn vs Sword+chain                           14.0   15.5   9.0  21.3     38     54       0     100      38     100    100  86.9       0     0  Torso was destroyed (Heart failed) (14)
R7-9    WD+Fester vs WD+BoneEater                        14.5   14.1   9.3  17.4     42     46       0      92      25     100    108  86.3       0     0  Torso was destroyed (Heart failed) (16)
R7-9    WD+collar+Bone vs Chain+Burn                     17.2   17.3  12.2  22.6     54     38       0      96      54     100    100  86.2       0     0  Torso was destroyed (Heart failed) (14)
R7-9    Claws+chain+Bite vs Dual-DoT+leather             14.8   16.2  11.2  24.5     46     42       0      92      50     100    100  78.9       0     0  Torso was destroyed (Heart failed) (14)

R10-13  Chain stacked+Burn/Bone vs same                  32.2   31.6  16.1  46.5     38     25       0     100      67     100    104  63.0       0     0  Torso was destroyed (Heart failed) (16)
R10-13  Chain stacked+Fester/Bite vs Burn/Bone           28.8   29.2  15.0  36.9     29     63       0      92      75     100    100  63.5       4     0  Torso was destroyed (Heart failed) (13)
R10-13  WD heal+Burn vs Chain stacked                    29.2   29.8  16.8  46.5     29     58       0     100      46     100    100  58.9       0     0  Head was destroyed (Brain failed) (10)
R10-13  WD heal+Fester vs Chain stacked                  23.5   28.9  10.2  43.7     25     71       4      96      46     107    100  80.7       4     0  Torso was destroyed (Heart failed) (11)
R10-13  WD heal+Bite vs Chain stacked                    30.5   31.4  19.9  52.1     29     67       0     100      50     100    100  63.9       0     0  Torso was destroyed (Heart failed) (17)
R10-13  WD heal+Bone vs Chain stacked                    34.5   33.3  18.1  46.9     13     42       0     100      58     100    100  56.5       0     0  Torso was destroyed (Heart failed) (11)
R10-13  WD reflect+Bite vs Chain stacked                 29.5   29.4  15.3  44.4     25     54       0     100      54     100    100  60.3       0     0  Torso was destroyed (Heart failed) (11)
R10-13  WD reflect+Bite vs WD heal+Fester                29.4   34.4  14.6  59.9     38     17       4      71      50     100    116  42.2       8     4  Torso was destroyed (Heart failed) (9)
R10-13  Unique-mix+Burn/Bone vs Chain stacked            21.7   25.7  21.4  47.7     67     13       0      71      42     100    107  60.8       0     0  Torso stopped functioning (Heart fai (8)
R10-13  Unique-mix+Bite vs Chain stacked                 23.3   26.6  18.7  35.5     58     33       0      83      63     100    104  68.1       0     0  Torso stopped functioning (Heart fai (5)
R10-13  FireStaff-2H+Fester+WD vs Chain stacked          27.3   32.2  17.7  43.1     42     79       4      67      54     100    100  57.8       4     0  Torso was destroyed (Heart failed) (7)
R10-13  FireStaff-2H+Burn+WD vs Chain stacked            36.6   40.4  22.2  60.2     17     29       0     100      79     100    103  47.3       8     0  Torso was destroyed (Heart failed) (19)
R10-13  StormStaff+Burn+WD vs Chain stacked              30.3   29.4  18.2  42.3     17     46       0      96      58     100    100  60.5       0     0  Torso was destroyed (Heart failed) (15)
R10-13  Ember+Dagger+WD vs Chain stacked                 25.8   29.0  15.8  42.6     29     79       0     100      58     100    100  55.5       0     0  Torso was destroyed (Heart failed) (14)
R10-13  WD heal+Burn vs WD+BoneEater (no stack)          23.8   27.8  12.8  42.9     38     75       0     100      54     100    100  65.8       0     0  Torso was destroyed (Heart failed) (15)
R10-13  Unique-mix vs WD+BoneEater (no stack)            21.4   22.7  11.8  27.0     67     54       4      92      38     100    100  66.7       4     0  Torso was destroyed (Heart failed) (9)
R10-13  WD heal+Bite vs Unique-mix+Burn                  22.6   25.2  21.6  26.5     75     75       0      88      46     114    100  61.9       0     0  Torso stopped functioning (Heart fai (5)
R10-13  FireStaff-2H+Burn vs WD+collar+Bone              19.8   23.0  18.5  36.7     71     92       0      58      42     105    100  56.6       0     0  Heart failure from Burning (10)

X       R1 axe vs R5 sword-leather                        9.8    9.6   5.6  13.1      0      0       0     100      38     100    118  25.4       0     0  Torso was destroyed (Heart failed) (11)
X       R1 club vs R5 mace-leather                       10.8   11.3   7.0  15.5     17      0       0     100      38     100    118  27.7       0     0  Torso was destroyed (Heart failed) (16)
X       R3 Fester-cloth vs R8 chain-plain                13.1   12.6   6.4  21.9     25     25       0     100      42     100    107  56.8       0     0  Torso was destroyed (Heart failed) (14)
X       R5 sword-leather vs R8 chain-burn                17.4   18.0   7.7  26.2     54     33       0     100      25     100    101  47.4       0     0  Torso was destroyed (Heart failed) (12)
X       R5 leather vs R12 chain stacked                  15.5   19.2   9.8  29.3     46     13       0     100      33     100    115  44.3       0     0  Torso was destroyed (Heart failed) (18)
X       R6 dual-iron vs R12 WD-heal-burn                 22.2   24.4  12.5  38.5     42     25       0     100      54     100    115  47.5       0     0  Torso was destroyed (Heart failed) (13)
X       R8 chain-plain vs R12 unique-mix                 17.9   16.0   9.7  21.7     58     21       0      92      46     100    118  67.2       0     0  Torso was destroyed (Heart failed) (15)
X       R8 WD-bone vs R12 WD-heal-burn                   18.5   19.0  11.2  30.6     46     25       0     100      42     100    117  52.7       0     0  Torso was destroyed (Heart failed) (17)

KIT     R1 axe Early vs axe bare                         19.9   25.1  11.6  48.3     42     96      13      88      42      68    100  57.2       0     0  Torso was destroyed (Heart failed) (16)
KIT     R1 axe Early vs same                             24.2   30.3  16.5  45.9     58     67       8      92      42      78     98  44.0       8     0  Torso was destroyed (Heart failed) (17)
KIT     R5 leather Mid vs leather bare                    9.6   10.2   4.3  15.1      8     96       0     100      25      90    100 108.1       0     0  Torso was destroyed (Heart failed) (14)
KIT     R5 leather Burst vs Sustain                      15.5   26.1  11.7  80.3     25     58      17      33      50     100    100  39.6      13     0  Heart failure from Festering (7)
KIT     R8 chain Late vs chain bare                       9.4    9.6   6.5  13.6      4    100       0     100      50      89    100 102.8       0     0  Torso was destroyed (Heart failed) (20)
KIT     R8 chain Burst vs Sustain                        14.8   16.8   5.4  30.2     25     71       4      38      46     107    100  52.2       0     0  Heart failure from Festering (10)
KIT     R12 stacked Full vs Late                         17.4   18.2  11.8  24.6     58     83       0     100      50     109    100 105.8       0     0  Torso was destroyed (Heart failed) (20)
KIT     R12 WD-heal Full vs stacked Mid                  28.2   29.8  20.7  41.9     33     88       0     100      63      98    100  67.7       0     0  Torso was destroyed (Heart failed) (14)

FOOD    R1 meat vs fish (axe+cloth)                      25.0   29.9  16.5  38.4     54     50       8      92      63      79     90  39.7       4     0  Torso was destroyed (Heart failed) (20)
FOOD    R4 stew vs dried+corn (leather)                  10.0   10.5   5.3  15.8     21     83       0     100      38     101    100 113.6       0     0  Torso was destroyed (Heart failed) (14)
FOOD    R5 stew+meat vs honey (leather)                  10.9   11.7   6.4  17.2      8     58       0     100      38     100    100  98.1       0     0  Torso was destroyed (Heart failed) (15)
FOOD    R8 honey vs stew (chain)                         11.9   12.5   7.6  19.4     17     33       0     100      38     100    107  86.4       0     0  Torso was destroyed (Heart failed) (18)
FOOD    R8 honey+stew vs walnut (WD)                     13.3   14.9   9.3  19.3     25     50       0     100      54      99    100  71.4       0     0  Torso was destroyed (Heart failed) (18)
FOOD    R12 walnut vs honey (stacked)                    16.2   18.1  11.1  26.2     29     63       0     100      42     100    100  93.3       0     0  Torso was destroyed (Heart failed) (21)

MED     R1 MedKit+suture vs Jar only                     20.3   21.2  14.6  28.2     71     79       0     100      50      94    100  55.5       0     0  Torso was destroyed (Heart failed) (21)
MED     R4 Mist+Balmy vs Acid flask                      14.3   15.7   8.5  25.6     25     67       0     100      33     100    100  68.4       0     0  Torso was destroyed (Heart failed) (19)
MED     R5 Jar+Heal vs Acid+Puss                         10.8   13.7   7.3  14.1      0      4       4      29      38     100    113  47.7       4     0  Heart failure from Festering (14)
MED     R8 Mix+Cauterize vs BoneCleanse                  17.3   17.1  11.8  21.4     67     79       0     100      58      96    100  71.7       0     0  Torso was destroyed (Heart failed) (23)
MED     R12 Serum vs Fester heal                         19.4   23.3  10.9  40.0     42     25       4      92      29     100    114  69.9       0     0  Torso was destroyed (Heart failed) (13)
MED     R12 Balmy vs FireStaff-2H Burn                   27.5   26.5  17.7  38.6     38     46       0     100      50     100    107  63.4       0     0  Torso was destroyed (Heart failed) (16)

INC     R1 Mullin vs Shade (axe)                         39.6   42.1  31.1  55.0      4     29       0     100      46      85    100  29.2       0     0  Torso was destroyed (Heart failed) (18)
INC     R5 Shade vs no incense (leather)                 21.7   24.5  15.9  35.7     54     54       0     100      42     100    100  61.5       0     0  Torso was destroyed (Heart failed) (16)
INC     R5 Dipped vs Mullin (leather)                    23.2   22.5  12.0  31.8     54     63       0     100      58      94    100  64.1       0     0  Torso was destroyed (Heart failed) (15)
INC     R8 Dipped vs Shade+Mullin (chain)                29.5   29.7  14.4  39.9     25     50       0     100      75      87    100  55.6       0     0  Torso was destroyed (Heart failed) (17)
INC     R8 Shade vs Dipped (WD-bone)                     27.3   27.5  16.1  36.8     29     38       0     100      58      90    100  45.8       0     0  Torso was destroyed (Heart failed) (14)
INC     R12 full smoke vs Mullin (stacked)               24.8   30.7  17.1  60.5     54     58       0     100      67     100    100  65.5       0     0  Torso was destroyed (Heart failed) (13)

--- Blood & severs ---
Band    Matchup                                         bleed%  sever%  b|sev  b|no  loseB%  winB% sev->s  inst%
----------------------------------------------------------------------------------------------------------------------------------
R1-3    Club vs Club (naked)                                 0      58      0     0      78     97   16.7      0
R1-3    Axe vs Axe (naked)                                   8      42     10     7      78     98   16.2      0
R1-3    Spear vs Axe (naked)                                 0      46      0     0      89     99   15.5      0
R1-3    Knife vs Knife (naked)                               0      25      0     0      83     97   13.2      0
R1-3    Hammer vs Club (naked)                               0      58      0     0      74     96   20.0      0
R1-3    Dual-primitive vs Axe (naked)                        0      42      0     0      90     99   14.7      0
R1-3    Axe+cloth vs Axe+cloth                               4      46      9     0      89     99   10.0      0
R1-3    Club+cloth vs Club+cloth                             4      67      0    13      74     94   14.3      0
R1-3    Spear+cloth vs Axe+cloth                             0      25      0     0      84     98   14.0      0
R1-3    Axe+leather-core vs Axe+leather-core                 4      54      8     0      75     92    9.9      0
R1-3    Sword+Fester+cloth vs Axe+cloth                      0      50      0     0      93    100    4.3      0
R1-3    Dagger+Fester+cloth vs Sword+cloth                   0      25      0     0     100    100    3.3      0

R4-6    Sword+leather vs Sword+leather                       0      50      0     0      95    100   12.1      0
R4-6    Mace+leather vs Sword+leather                        0      67      0     0      95    100   21.6      0
R4-6    IronAxe+leather vs Sword+leather                     0      46      0     0      90    100   12.2      0
R4-6    Claws+leather vs Sword+leather                       0      42      0     0      92    100   19.3      0
R4-6    Dual-iron+Fester+leaf vs same                        0      63      0     0     100    100   10.2      0
R4-6    Dual-dagger+Fester+leaf vs Dual-iron                 8      46      9     8      95    100   15.9      0
R4-6    Sword+Fester+leather-ench vs same                    0      29      0     0     100    100   19.4      0
R4-6    Sword+Bite+BloodBath vs Sword+leather                0      63      0     0      89    100   10.7      0
R4-6    FireStaff+Fester+leather vs Sword+leather            0      58      0     0      80    100   13.5      0
R4-6    StormStaff+leather vs Sword+leather                  0      46      0     0      90    100   15.9      0
R4-6    Ember+Dagger+leather vs Sword+leather                0      54      0     0      83    106   11.2      0
R4-6    Chain-partial vs Sword+leather                       0      50      0     0      96    104   15.9      0
R4-6    WD-partial+BoneEater vs Sword+leather                0      33      0     0      91    100   27.4      0
R4-6    WD-partial+Bite vs Mace+leather                      0      38      0     0      91    100   16.5      0

METAL   Dagger vs Sword (leather)                            0      54      0     0      91    100   15.0      0
METAL   Knuckles vs Sword (leather)                          0      71      0     0      84    100   13.8      0
METAL   Axe vs Sword (leather)                               0      46      0     0      90    100   12.2      0
METAL   Hammer vs Sword (leather)                            0      42      0     0      76    109   23.0      0
METAL   Mace vs Sword (leather)                              0      67      0     0      95    100   21.6      0
METAL   Claws vs Sword (leather)                             0      42      0     0      92    100   19.3      0
METAL   Sword vs Sword (leather)                             0      50      0     0      95    100   12.1      0
METAL   Axe vs Axe (leather)                                 0      50      0     0      98    100   17.7      0
METAL   Mace vs Mace (leather)                               0      46      0     0      98    100   18.4      0
METAL   Claws vs Claws (leather)                             0      54      0     0      89    100   17.7      0

MAGIC   EmberWand vs Sword (leather)                         4      42      0     7      92    110   18.9      0
MAGIC   HexWand vs Sword (leather)                           0      17      0     0     100    109    5.9      0
MAGIC   FireStaff vs Sword (leather)                         4      38      0     7      95    104   18.7      0
MAGIC   StormStaff vs Sword (leather)                        0      46      0     0      90    100   15.9      0
MAGIC   Dual-wand vs Sword (leather)                         0      50      0     0      98    100   13.6      0
MAGIC   Ember+Dagger vs Sword (leather)                      0      54      0     0      83    106   11.2      0
MAGIC   FireStaff vs FireStaff (leather)                     0      54      0     0      81    100   14.8      0
MAGIC   StormStaff vs StormStaff (leather)                   0      50      0     0      89    100   22.5      0
MAGIC   HexWand vs EmberWand (leather)                       0      54      0     0      85    100   16.7      0

STEEL   Greatsword vs Sword (leather)                        0      42      0     0      94    100   10.8      0
STEEL   Maul vs Sword (leather)                              0      42      0     0      99    100   16.3      0
STEEL   Poleaxe vs Sword (leather)                           0      29      0     0      99    100   20.9      0
STEEL   SteelSword vs Sword (leather)                        0      50      0     0      95    100   18.3      0
STEEL   SteelAxe vs Sword (leather)                          0      38      0     0      94    100   12.6      0
STEEL   Greatsword vs Maul (leather)                         0      38      0     0     100    100   17.8      0
STEEL   Greatsword vs Poleaxe (leather)                      0      50      0     0     100    111   12.8      0
STEEL   Maul vs Poleaxe (leather)                            4      67      6     0     100    112   13.1      0
STEEL   SteelSword vs SteelAxe (leather)                     0      67      0     0      96    100   12.5      0
STEEL   SteelSword+Dagger vs Greatsword (leather)            0      46      0     0      89    100   21.1      0
STEEL   Dual-IronSword vs Greatsword (leather)               0      38      0     0      99    100   12.8      0
STEEL   Greatsword vs Sword (chain)                          0      54      0     0     100    100   10.8      0
STEEL   SteelSword vs Sword (chain)                          0      42      0     0     100    100   19.9      0

R7-9    Sword+chain vs Sword+chain                           0      42      0     0     100    100   12.5      0
R7-9    Chain+Burn vs Chain (plain)                          0      21      0     0     100    100    6.7      0
R7-9    Chain+Burn vs Chain+BoneEater                        0      33      0     0     100    101    4.8      0
R7-9    Chain+Burn vs Chain+SpidersBite                      0      33      0     0     100    106    7.4      0
R7-9    Dual-iron+chain vs Sword+chain                       0      38      0     0     100    100   13.6      0
R7-9    Chain+Rhino-light vs Chain+Burn                      0      50      0     0     100    100   10.9      0
R7-9    Dual-DoT+leather vs same                             0      38      0     0     100    100    6.7      0
R7-9    WD+BoneEater vs Sword+chain                          0      46      0     0     100    100   12.1      0
R7-9    WD+Burn vs Sword+chain                               0      38      0     0     100    100    7.1      0
R7-9    WD+Fester vs WD+BoneEater                            0      25      0     0     100    108    7.3      0
R7-9    WD+collar+Bone vs Chain+Burn                         0      54      0     0     100    100    6.1      0
R7-9    Claws+chain+Bite vs Dual-DoT+leather                 0      50      0     0     100    100   10.6      0

R10-13  Chain stacked+Burn/Bone vs same                      0      67      0     0     100    104   18.8      0
R10-13  Chain stacked+Fester/Bite vs Burn/Bone               0      75      0     0     100    100   14.3      0
R10-13  WD heal+Burn vs Chain stacked                        0      46      0     0     100    100   27.5      0
R10-13  WD heal+Fester vs Chain stacked                      4      46      9     0     107    100   22.2      0
R10-13  WD heal+Bite vs Chain stacked                        0      50      0     0     100    100   19.4      0
R10-13  WD heal+Bone vs Chain stacked                        0      58      0     0     100    100   20.9      0
R10-13  WD reflect+Bite vs Chain stacked                     0      54      0     0     100    100   15.9      0
R10-13  WD reflect+Bite vs WD heal+Fester                    4      50      8     0     100    116   19.9      0
R10-13  Unique-mix+Burn/Bone vs Chain stacked                0      42      0     0     100    107   20.4      0
R10-13  Unique-mix+Bite vs Chain stacked                     0      63      0     0     100    104   13.6      0
R10-13  FireStaff-2H+Fester+WD vs Chain stacked              4      54      0     9     100    100   19.3      0
R10-13  FireStaff-2H+Burn+WD vs Chain stacked                0      79      0     0     100    103   14.9      0
